章节,章节名称,命令,命令标题,命令类型,命令格式,响应,响应校正,示例命令,功能描述,备注,表数量,顺序,参数,参数json
1,基础命令,ATI,获取模组厂商信息,执行,ATI,<CR><LF>OK<CR><LF>,"<CR><LF><manufacturer>
<CR><LF><module_version>
<CR><LF><soft_version>
<CR><LF>OK<CR><LF>","ATI

OK","获取模组厂商信息,包括厂家、型号和版本。
命令格式",说明示例1,1,1,"- `<manufacturer>`：模组厂商信息、产品名称、版本号

- `<module_version>`：模组型号

- `<soft_version>`：模组软件版本","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,基础命令,AT+GMR,查询版本信息,执行,AT+GMR,<CR><LF>OK<CR><LF>,"<CR><LF>+GMR: <reversion>
<CR><LF>OK<CR><LF>","AT+CSMS=1

+CSMS: 1,1,1
OK","查询软件版本信息。
命令格式",说明示例2,1,2,- `<reversion>`：模组软件版本信息,"{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,基础命令,AT+CSQ,获取信号强度,执行,AT+CSQ,<CR><LF>OK<CR><LF>,,"AT+CSQ

OK","查询接收信号强度<rssi>。
命令格式",说明示例3,1,3,"- `<signal>`：以下为signal(CSQ)与rssi对应关系：
  - `0`: <4或99 | <-107 dBm or unknown
  - `1`: <10 | <-93dBm
  - `2`: <16 | <-81 dBm
  - `3`: <22 | <-69dBm
  - `4`: <28 | <-57dBm
  - `5`: >=28 | >=-57 dBm

- `<ber>`：—
  - `99`: 误码率无法测量","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,基础命令,AT+CREG,查询网络注册状态,执行,AT+CREG,<CR><LF>OK<CR><LF>,,"AT+CREG

OK","查询模组的当前网络注册状态。
命令格式",说明示例4,1,4,"- `<n>`：0：禁止网络注册主动提供结果代码（默认设置）
1：允许网络注册主动提供结果代码
2：允许网络注册主动提供所在地讯息（CELL ID、LOCAL ID）。
  - `0`: 禁止网络注册主动提供结果代码（默认设置）
  - `1`: 允许网络注册主动提供结果代码
  - `2`: 允许网络注册主动提供所在地讯息（CELL ID、LOCAL ID）。

- `<stat>`：0：未注册，终端当前并未在搜寻新的运营商
1：已注册本地网络
2：未注册，终端正在搜寻基站
3：注册被拒绝
4：未知代码
5：已注册，处于漫游状态
6：ltesms only home
7：ltesms only roaming
8：EMER SVCE ONLY
9：CSFB NOT PREFER HOME
10：CSFB NOT PREFER ROAMING
  - `0`: 未注册
  - `1`: 已注册本地网络
  - `2`: 未注册
  - `3`: 注册被拒绝
  - `4`: 未知代码
  - `5`: 已注册
  - `6`: ltesms only home
  - `7`: ltesms only roaming
  - `8`: EMER SVCE ONLY
  - `9`: CSFB NOT PREFER HOME
  - `10`: CSFB NOT PREFER ROAMING

- `<lac>`：字符串型，2字节十六进制位置区代码

- `<ci>`：字符串型，2字节十六进制小区编号

- `<Act>`：0：GSM
1：GSM compact
2：UTRAN
3：GSM w/EGPRS
4：UTRAN w/HSDPA
5：UTRAN w/HSUPA
6：UTRAN w/HSDPA AND w/HSUPA
7：E-UTRAN
8：UTRAN w/HSPA+
  - `0`: GSM
  - `1`: GSM compact
  - `2`: UTRAN
  - `3`: GSM w/EGPRS
  - `4`: UTRAN w/HSDPA
  - `5`: UTRAN w/HSUPA
  - `6`: UTRAN w/HSDPA AND w/HSUPA
  - `7`: E-UTRAN
  - `8`: UTRAN w/HSPA+","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,基础命令,AT+CEREG,获取EPS网络注册状态,执行,AT+CEREG,<CR><LF>OK<CR><LF>,,"AT+CEREG

OK","查询EPS网络注册状态。
命令格式",说明示例5,1,5,"- `<n>`：0：禁止网络注册主动提供结果代码（默认设置）
1：允许网络注册主动提供结果代码
2：允许网络注册主动提供所在地信息（CELL ID、LOCAL ID）
4：允许网络注册主动提供Active-Time和Periodic-TAU
  - `0`: 禁止网络注册主动提供结果代码（默认设置）
  - `1`: 允许网络注册主动提供结果代码
  - `2`: 允许网络注册主动提供所在地信息（CELL ID、LOCAL ID）
  - `4`: 允许网络注册主动提供Active-Time和Periodic-TAU

- `<stat>`：0：未注册，终端当前并未在搜寻新的运营商
1：已注册本地网络
2：未注册，终端正在搜寻基站
3：注册被拒绝
4：未知代码
5：已注册，处于漫游状态
  - `0`: 未注册
  - `1`: 已注册本地网络
  - `2`: 未注册
  - `3`: 注册被拒绝
  - `4`: 未知代码
  - `5`: 已注册

- `<tac>`：字符串型，2字节十六进制位置区代码

- `<ci>`：字符串型，2字节十六进制小区编号

- `<Act>`：0：GSM
1：GSM compact
2：UTRAN
3：GSM w/EGPRS
4：UTRAN w/HSDPA
5：UTRAN w/HSUPA
6：UTRAN w/HSDPA and HSUPA
7：E-UTRAN
  - `0`: GSM
  - `1`: GSM compact
  - `2`: UTRAN
  - `3`: GSM w/EGPRS
  - `4`: UTRAN w/HSDPA
  - `5`: UTRAN w/HSUPA
  - `6`: UTRAN w/HSDPA and HSUPA
  - `7`: E-UTRAN","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,基础命令,AT+COPS,网络选择,执行,AT+COPS,<CR><LF>OK<CR><LF>,,"AT+COPS

OK","查询网络。
命令格式",说明示例6,1,6,"- `<mode>`：用来设置自动选择网络还是手动选择网络。
0：自动选择网络（忽略参数<oper>）
1：手动选择网络
2：从网络侧撤销注册
3：只设置<format>
4：先手动选择网络后自动选择网络（若手动选择网络不成功，就进入自动选择网络）
  - `0`: 自动选择网络（忽略参数<oper>）
  - `1`: 手动选择网络
  - `2`: 从网络侧撤销注册
  - `3`: 只设置<format>
  - `4`: 先手动选择网络后自动选择网络（若手动选择网络不成功

- `<format>`：0：长字母<oper>（默认设置）
1：短格式字母<oper>
2：数字<oper>
  - `0`: 长字母<oper>（默认设置）
  - `1`: 短格式字母<oper>
  - `2`: 数字<oper>

- `<oper>`：在<format>中被赋值，可以是16个符的长字母格式、8个符的短字母格式及5个符的数字格式（MCC/MNC）

- `<AcT>`：显示无线接入技术，取值如下：
0：GSM
1：GSM compact
3：GSM w/EGPRS
7：E-UTRAN
  - `取值如下`: 
  - `0`: GSM
  - `1`: GSM compact
  - `3`: GSM w/EGPRS
  - `7`: E-UTRAN","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,基础命令,AT+CIMI,查询国际移动用户识别码,执行,AT+CIMI,<CR><LF>OK<CR><LF>,,"AT+CIMI

OK","获取国际移动用户识别码IMSI（international mobile subscriber identification）。
命令格式",说明示例7,1,7,"- `<IMSI>`：国际移动用户识别码。
该识别码为15位数字，以3位MCC和2位MNC开头，用来对SIM卡进行鉴权。","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,基础命令,AT+CGSN,获取通信模组IMEI号,执行,AT+CGSN,<CR><LF>OK<CR><LF>,,"AT+CGSN

OK","获取模组的产品序列号,也就是IMEI号（International Mobile Equipment Identity）。
命令格式",说明示例8,1,8,- `<IMEI>`：模组的产品序列号。,"{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,基础命令,AT+GSN,获取通信模组IMEI号,执行,AT+GSN,<CR><LF>OK<CR><LF>,,"AT+GSN

OK","获取模组的产品序列号,也就是IMEI号（International Mobile Equipment Identity）。
命令格式",说明示例9,1,9,- `<IMEI>`：模组的产品序列号，为15位数字。,"{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,基础命令,AT+CCID,获取SIM卡标识,执行,AT+CCID,<CR><LF>OK<CR><LF>,,"AT+CCID

OK","获取SIM卡的ICCID。
命令格式",说明示例10,1,10,"- `<ICCID>`：Integrate circuit card identity 集成电路卡识别码，即所插入卡的识别码
ICCID为20位。
  - `Integrate`: circuit card identity 集成电路卡识别码","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
