章节,章节名称,命令,命令标题,命令类型,命令格式,响应,响应校正,示例命令,功能描述,备注,表数量,顺序,参数,参数json
1,Basic Commands,ATI,Get Module Manufacturer Information,Execute,ATI,<CR><LF>OK<CR><LF>,"<CR><LF><manufacturer>
<CR><LF><module_version>
<CR><LF><soft_version>
<CR><LF>OK<CR><LF>","ATI

OK","Get module manufacturer information, including manufacturer, model, and version.
Command Format",Example 1,1,1,"- `<manufacturer>`: Module manufacturer information, product name, version number

- `<module_version>`: Module model

- `<soft_version>`: Module software version","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,Basic Commands,AT+GMR,Query Version Information,Execute,AT+GMR,<CR><LF>OK<CR><LF>,"<CR><LF>+GMR: <reversion>
<CR><LF>OK<CR><LF>","AT+CSMS=1

+CSMS: 1,1,1
OK","Query software version information.
Command Format",Example 2,1,2,- `<reversion>`: Module software version information,"{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,Basic Commands,AT+CSQ,Get Signal Strength,Execute,AT+CSQ,<CR><LF>OK<CR><LF>,,"AT+CSQ

OK","Query received signal strength <rssi>.
Command Format",Example 3,1,3,"- `<signal>`: The following is the correspondence between signal (CSQ) and rssi:
  - `0`: <4 or 99 | <-107 dBm or unknown
  - `1`: <10 | <-93dBm
  - `2`: <16 | <-81 dBm
  - `3`: <22 | <-69dBm
  - `4`: <28 | <-57dBm
  - `5`: >=28 | >=-57 dBm

- `<ber>`: —
  - `99`: Bit error rate cannot be measured","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,Basic Commands,AT+CREG,Query Network Registration Status,Execute,AT+CREG,<CR><LF>OK<CR><LF>,,"AT+CREG

OK","Query the current network registration status of the module.
Command Format",See Example 4,1,4,"- `<n>`: 0: Disable active result code provision for network registration (default setting)
1: Allow active result code provision for network registration
2: Allow active location information provision (CELL ID, LOCAL ID).
  - `0`: Disable active result code provision for network registration (default setting)
  - `1`: Allow active result code provision for network registration
  - `2`: Allow active location information provision (CELL ID, LOCAL ID).

- `<stat>`: 0: Not registered, the terminal is not currently searching for a new operator
1: Registered to the local network
2: Not registered, the terminal is searching for a base station
3: Registration denied
4: Unknown code
5: Registered, in roaming state
6: ltesms only home
7: ltesms only roaming
8: EMER SVCE ONLY
9: CSFB NOT PREFER HOME
10: CSFB NOT PREFER ROAMING
  - `0`: Not registered
  - `1`: Registered to the local network
  - `2`: Not registered
  - `3`: Registration denied
  - `4`: Unknown code
  - `5`: Registered
  - `6`: ltesms only home
  - `7`: ltesms only roaming
  - `8`: EMER SVCE ONLY
  - `9`: CSFB NOT PREFER HOME
  - `10`: CSFB NOT PREFER ROAMING

- `<lac>`: String type, 2-byte hexadecimal location area code

- `<ci>`: String type, 2-byte hexadecimal cell ID

- `<Act>`: 0: GSM
1: GSM compact
2: UTRAN
3: GSM w/EGPRS
4: UTRAN w/HSDPA
5: UTRAN w/HSUPA
6: UTRAN w/HSDPA AND w/HSUPA
7: E-UTRAN
8: UTRAN w/HSPA+
  - `0`: GSM
  - `1`: GSM compact
  - `2`: UTRAN
  - `3`: GSM w/EGPRS
  - `4`: UTRAN w/HSDPA
  - `5`: UTRAN w/HSUPA
  - `6`: UTRAN w/HSDPA AND w/HSUPA
  - `7`: E-UTRAN
  - `8`: UTRAN w/HSPA+","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,Basic Commands,AT+CEREG,Get EPS Network Registration Status,Execute,AT+CEREG,<CR><LF>OK<CR><LF>,,"AT+CEREG

OK","Query EPS network registration status.
Command Format",See Example 5,1,5,"- `<n>`: 0: Disable active result code provision for network registration (default setting)
1: Allow active result code provision for network registration
2: Allow active location information provision (CELL ID, LOCAL ID)
4: Allow active provision of Active-Time and Periodic-TAU
  - `0`: Disable active result code provision for network registration (default setting)
  - `1`: Allow active result code provision for network registration
  - `2`: Allow active location information provision (CELL ID, LOCAL ID)
  - `4`: Allow active provision of Active-Time and Periodic-TAU

- `<stat>`: 0: Not registered, the terminal is not currently searching for a new operator
1: Registered to the local network
2: Not registered, the terminal is searching for a base station
3: Registration denied
4: Unknown code
5: Registered, in roaming state
  - `0`: Not registered
  - `1`: Registered to the local network
  - `2`: Not registered
  - `3`: Registration denied
  - `4`: Unknown code
  - `5`: Registered

- `<tac>`: String type, 2-byte hexadecimal location area code

- `<ci>`: String type, 2-byte hexadecimal cell ID

- `<Act>`: 0: GSM
1: GSM compact
2: UTRAN
3: GSM w/EGPRS
4: UTRAN w/HSDPA
5: UTRAN w/HSUPA
6: UTRAN w/HSDPA and HSUPA
7: E-UTRAN
  - `0`: GSM
  - `1`: GSM compact
  - `2`: UTRAN
  - `3`: GSM w/EGPRS
  - `4`: UTRAN w/HSDPA
  - `5`: UTRAN w/HSUPA
  - `6`: UTRAN w/HSDPA and HSUPA
  - `7`: E-UTRAN","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,Basic Commands,AT+COPS,Network Selection,Execute,AT+COPS,<CR><LF>OK<CR><LF>,,"AT+COPS

OK","Query network.
Command Format",See Example 6,1,6,"- `<mode>`: Used to set automatic network selection or manual network selection.
0: Automatic network selection (ignore parameter <oper>)
1: Manual network selection
2: Deregister from the network
3: Set <format> only
4: First manually select the network, then automatically select the network (if manual selection fails, it will enter automatic selection)
  - `0`: Automatic network selection (ignore parameter <oper>)
  - `1`: Manual network selection
  - `2`: Deregister from the network
  - `3`: Set <format> only
  - `4`: First manually select the network, then automatically select the network (if manual selection fails

- `<format>`: 0: Long alphanumeric <oper> (default setting)
1: Short format alphanumeric <oper>
2: Numeric <oper>
  - `0`: Long alphanumeric <oper> (default setting)
  - `1`: Short format alphanumeric <oper>
  - `2`: Numeric <oper>

- `<oper>`: Assigned in <format>, can be a long alphanumeric format of 16 characters, a short alphanumeric format of 8 characters, or a numeric format of 5 characters (MCC/MNC)

- `<AcT>`: Displays the radio access technology, with the following values:
0: GSM
1: GSM compact
3: GSM w/EGPRS
7: E-UTRAN
  - `Values are as follows`: 
  - `0`: GSM
  - `1`: GSM compact
  - `3`: GSM w/EGPRS
  - `7`: E-UTRAN","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,Basic Commands,AT+CIMI,Query International Mobile Subscriber Identity Code,Execute,AT+CIMI,<CR><LF>OK<CR><LF>,,"AT+CIMI

OK","Obtain the International Mobile Subscriber Identity (IMSI).
Command Syntax",See Example 7,1,7,"- `<IMSI>`: International Mobile Subscriber Identity Code.
This code consists of 15 digits, starting with a 3-digit MCC and a 2-digit MNC, used for authenticating the SIM card.","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,Basic Commands,AT+CGSN,Get Communication Module IMEI Number,Execute,AT+CGSN,<CR><LF>OK<CR><LF>,,"AT+CGSN

OK","Obtain the product serial number of the module, which is the IMEI number (International Mobile Equipment Identity).
Command Syntax",See Example 8,1,8,- `<IMEI>`: Product serial number of the module.,"{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,Basic Commands,AT+GSN,Get Communication Module IMEI Number,Execute,AT+GSN,<CR><LF>OK<CR><LF>,,"AT+GSN

OK","Obtain the product serial number of the module, which is the IMEI number (International Mobile Equipment Identity).
Command Syntax",See Example 9,1,9,"- `<IMEI>`: Product serial number of the module, consisting of 15 digits.","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,Basic Commands,AT+CCID,Get SIM Card Identifier,Execute,AT+CCID,<CR><LF>OK<CR><LF>,,"AT+CCID

OK","Get the ICCID of the SIM card.
Command Format",See Example 10,1,10,"- `<ICCID>`: Integrated circuit card identity, which is the identification code of the inserted card.
ICCID is 20 digits.
  - `Integrate`: circuit card identity","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
